FID,Shape *,AWS_ID,AWS__Locat,Latitude,Longitude,Monsoon
112,Point,30092,Sub Station: Mailardevpally: Sivarampally,17.31499,78.44551,563.4
113,Point,30094,DEO office Beside Substation: R.C.Puram,17.509394,78.30196,824
114,Point,30095,Vinay Nagar Comm Hall: I.S.Sadan,17.352907,78.50762,629.5
115,Point,30097,Branch Library: Santhosh Nagar,17.34946,78.50597,602.4
116,Point,30098,Govt. Boys High School: Kurmaguda,17.36007,78.50423,609.7
117,Point,30099,Alakapuri Comm Hall,17.36545,78.55312,784.2
118,Point,30100,Bavani Nagar Comm Hall,17.35032,78.56226,626.9
119,Point,30101,Rock Town Colony: Nagole,17.36184,78.56267,650.8
120,Point,30102,Thatiannaram,17.366968,78.59669,483.3
121,Point,30103,Patigadda,17.433964,78.484116,720.5
122,Point,30104,Raidurga Ward Office: Gachibowli,17.413216,78.3923,779.3
123,Point,30105,Kakatiya Hills: Madhapur,17.441742,78.39747,665.6
124,Point,30106,JPN Nagar Comm Hall: Miyapur,17.50657,78.35638,601.6
125,Point,30107,Urban Health Centre: Hafeezpet,17.486649,78.35675,525.6
126,Point,30108,Nerella Park: Sai baba Temple: Kondapur,17.462606,78.36462,734.8
127,Point,30109,MMTS Lingampally,17.485308,78.31467,638.4
128,Point,30110,PJR Stadium: Chandanagar,17.488832,78.32437,556.1
129,Point,30111,Khajaguda Sports Complex Gachibowli,17.418348,78.36665,826.3
130,Point,30112,Tolichowki Dalith Bhavan,17.403591,78.419685,659.6
131,Point,30113,Venkateshwara Colony: Banjarahills,17.419476,78.44202,563.3
132,Point,30114,CMTC Premises: Banjara Hills,17.41398,78.43367,781.4
133,Point,30115,Goutham Nagar Function Hall: Film nagar,17.411781,78.41054,267.6
134,Point,30116,Venkatgiri Water Tank: Vengalrao Nagar,17.432058,78.422134,726.2
135,Point,30117,Rajiv Nagar Community Hall,17.4606,78.5704,566.9
136,Point,30118,Mallapur Biodiversity,17.44587,78.57425,574.4
137,Point,30119,Chilkanagar Comm Hall,17.421682,78.563255,730.3
138,Point,30120,Shanthi Nagar Comm Hall: Uppal,17.397623,78.57161,757.5
139,Point,30121,Maruthi Nagar Mahila Sabha Center,17.375414,78.54099,755.3
140,Point,30122,New Nagole Welfare association,17.3734,78.55612,282.5
141,Point,30123,Habsiguda JSN Colony,17.405237,78.54175,645.4
142,Point,30124,Ramanthapur Ward Office,17.392805,78.536575,682.7
143,Point,30125,Nacharam Ward Office,17.424128,78.54361,625.9
144,Point,30126,Balramnagar Welfare Association: Safilguda,17.466393,78.53417,792
145,Point,30127,GHMC Building Secunderabad,17.40791,78.47556,641.3
146,Point,30128,CESS,17.432142,78.45264,616.7
147,Point,30129,Allabada Water Reservoir,17.380026,78.45543,683.5
148,Point,30130,Mehdipatnam Navodaya Comm Hall,17.387674,78.43624,739.5
